iter	Passed	Remaining
243	4376	13558
244	4393	13537
245	4408	13512
246	4424	13488
247	4440	13464
248	4457	13442
249	4474	13422
250	4492	13406
251	4508	13382
252	4525	13360
253	4541	13338
254	4558	13317
255	4576	13300
256	4593	13281
257	4612	13264
258	4629	13245
259	4652	13242
260	4679	13250
261	4700	13241
262	4717	13218
263	4732	13193
264	4748	13169
265	4763	13143
266	4778	13117
267	4793	13093
268	4809	13070
269	4826	13049
270	4842	13026
271	4858	13003
272	4874	12980
273	4889	12956
274	4904	12930
275	4920	12906
276	4935	12881
277	4949	12855
278	4965	12832
279	4981	12809
280	4997	12786
281	5013	12764
282	5028	12741
283	5044	12718
284	5060	12694
285	5074	12669
286	5089	12645
287	5107	12626
288	5124	12607
289	5140	12584
290	5155	12560
291	5170	12537
292	5186	12513
293	5202	12492
294	5217	12469
295	5232	12445
296	5247	12421
297	5263	12398
298	5278	12375
299	5294	12353
300	5310	12332
301	5327	12312
302	5343	12291
303	5359	12271
304	5375	12249
305	5392	12230
306	5408	12209
307	5424	12187
308	5440	12167
309	5457	12146
310	5473	12126
311	5489	12105
312	5505	12083
313	5520	12061
314	5536	12039
315	5553	12021
316	5569	12000
317	5585	11978
318	5600	11956
319	5616	11934
320	5631	11913
321	5646	11889
322	5662	11868
323	5678	11847
324	5693	11825
325	5711	11808
326	5728	11789
327	5743	11767
328	5759	11746
329	5775	11725
330	5795	11714
331	5811	11692
332	5826	11671
333	5842	11650
334	5858	11629
335	5874	11609
336	5891	11589
337	5908	11571
338	5926	11555
339	5943	11538
340	5960	11518
341	5977	11501
342	5993	11479
343	6008	11458
344	6024	11438
345	6041	11419
346	6057	11400
347	6074	11380
348	6090	11361
349	6107	11342
350	6123	11323
351	6140	11304
352	6156	11283
353	6171	11262
354	6187	11241
355	6202	11220
356	6218	11200
357	6234	11179
358	6249	11158
359	6264	11136
360	6279	11115
361	6295	11094
362	6310	11073
363	6326	11054
364	6342	11034
365	6358	11014
366	6374	10994
367	6390	10974
368	6406	10955
369	6424	10938
370	6441	10920
371	6457	10901
372	6474	10883
373	6491	10865
374	6507	10846
375	6524	10828
376	6541	10809
377	6558	10791
378	6574	10772
379	6591	10753
380	6607	10735
381	6625	10719
382	6641	10699
383	6657	10679
384	6673	10659
385	6689	10640
386	6705	10620
387	6721	10601
388	6738	10584
389	6757	10569
390	6773	10550
391	6788	10529
392	6803	10508
393	6819	10488
394	6835	10469
395	6850	10449
396	6866	10428
397	6880	10407
398	6895	10386
399	6911	10366
400	6926	10346
401	6941	10325
402	6956	10305
403	6972	10286
